year,mean,unc
1984,1644.84,0.71
1985,1657.29,0.66
1986,1670.09,0.79
1987,1682.71,0.52
1988,1693.19,0.60
1989,1704.53,0.55
1990,1714.46,0.71
1991,1724.79,0.70
1992,1735.47,0.59
1993,1736.48,0.47
1994,1742.08,0.58
1995,1748.88,0.54
1996,1751.30,0.65
1997,1754.51,0.42
1998,1765.57,0.62
1999,1772.30,0.56
2000,1773.22,0.72
2001,1771.29,0.53
2002,1772.68,0.56
2003,1777.33,0.59
2004,1777.13,0.44
2005,1774.23,0.52
2006,1774.94,0.53
2007,1781.33,0.56
2008,1787.01,0.60
2009,1793.52,0.62
2010,1798.92,0.67
2011,1803.03,0.62
2012,1808.07,0.54
2013,1813.42,0.64
2014,1822.59,0.50
2015,1834.19,0.51
2016,1843.18,0.59
2017,1849.62,0.66
2018,1857.34,0.88
2019,1866.59,0.63
2020,1878.72,0.66
2021,1894.81,0.65
2022,1910.95,0.88
2023,1921.38,0.71
2024,1929.40,0.61
2025,1935.94,0.61
