år,Avlagte doktorgrader per mill. innbyggere Danmark,Avlagte doktorgrader per mill. innbyggere Finland,Avlagte doktorgrader per mill. innbyggere Island,Avlagte doktorgrader per mill. innbyggere Norge,Avlagte doktorgrader per mill. innbyggere Sverige,Avlagte doktorgrader per mill. innbyggere Estland,Avlagte doktorgrader per mill. innbyggere Latvia,Avlagte doktorgrader per mill. innbyggere Litauen,Doktorgradsstudenter per mill. innbyggere Danmark,Doktorgradsstudenter per mill. innbyggere Finland,Doktorgradsstudenter per mill. innbyggere Island,Doktorgradsstudenter per mill. innbyggere Norge,Doktorgradsstudenter per mill. innbyggere Sverige,Doktorgradsstudenter per mill. innbyggere Estland,Doktorgradsstudenter per mill. innbyggere Latvia,Doktorgradsstudenter per mill. innbyggere Litauen
1990,73,98,4,93,128,0,61,85,446,547,NaN,670,2313,NaN,NaN,NaN
1991,95,104,0,97,137,0,40,45,546,558,NaN,716,1623,NaN,NaN,NaN
1992,112,104,11,102,148,0,27,90,637,652,NaN,770,1656,NaN,143,NaN
1993,133,128,15,114,143,1,97,85,719,757,NaN,812,1765,196,141,NaN
1994,143,138,0,127,171,6,35,32,779,846,NaN,824,1765,263,166,NaN
1995,149,148,11,138,172,20,27,26,832,1056,26,826,1759,431,219,296
1996,152,166,4,137,190,27,38,32,871,1268,33,845,1880,510,310,358
1997,179,182,15,142,204,34,48,40,874,1406,52,959,2000,639,367,413
1998,178,192,11,155,218,76,72,55,879,1587,77,999,2141,769,409,528
1999,183,225,11,156,242,98,51,62,894,1807,126,1033,2130,907,420,574
2000,187,223,18,144,245,84,9,135,912,2088,185,1149,2105,1033,530,588
2001,190,232,14,150,271,107,21,100,910,2601,242,1129,2132,1083,556,608
2002,192,235,21,163,278,136,23,128,888,2792,278,909,2179,1147,571,634
2003,205,241,31,158,302,164,35,107,879,3110,394,981,2246,1202,623,768
2004,194,268,34,170,307,153,35,90,909,3231,491,1096,2219,1318,631,834
2005,177,271,47,185,305,96,50,117,927,3379,588,1305,2133,1451,808,866
2006,170,268,49,194,305,106,42,120,991,3424,760,1390,2049,1585,810,886
2007,200,289,29,219,312,114,72,121,1102,3412,711,1506,1957,1773,900,884
2008,212,287,72,261,316,120,76,122,1209,3333,806,1660,1905,1842,930,919
2009,226,308,100,238,293,120,74,151,1341,3318,1132,1735,1908,1986,1005,923
2010,269,283,119,242,279,131,58,130,1488,3416,1481,1820,1962,2197,1153,960
2011,289,307,160,268,277,188,121,140,1593,3364,1599,1825,1993,2294,1101,949
2012,295,305,125,291,271,143,131,133,1691,3440,1489,1899,2058,2297,1238,898
2013,353,317,176,300,276,177,156,149,1744,3419,1728,1858,2044,2259,1195,908
2014,390,341,257,282,294,162,132,140,1738,3365,1569,1866,2007,2206,1103,900
2015,374,343,211,277,292,158,129,144,1709,3316,1462,1903,1921,2158,1168,942
2016,401,344,203,269,301,182,101,113,1658,3228,1916,1967,1862,2002,1169,954
2017,373,318,169,283,282,192,78,116,1615,3214,2309,2044,1805,1892,1131,970
2018,365,325,181,294,275,185,64,125,1594,3174,2235,2132,1766,1829,1104,971
2019,362,311,255,296,267,177,70,116,1582,3214,2233,2122,1752,1748,1073,975
2020,328,333,200,304,248,166,63,123,1617,3281,2326,2147,1760,1743,1073,969
2021,329,291,233,296,256,159,79,135,1662,3383,2421,2210,1761,1689,1079,946
2022,328,292,263,286,261,188,97,137,1698,3373,2474,2273,1734,1721,1734,932
2023,358,310,245,291,262,173,84,139,1708,3442,2482,2249,1731,1671,1729,896
2024,393,334,246,332,263,212,123,127,1650,3580,2475,2171,1725,1691,1728,967
